0.00000108,8.13E-11,535785912.1,8.74E-09,5.76E+10,1.08E-06,5.36E+16,5.79E+10
0.00000109,8.69E-11,572918113.8,9.43E-09,6.22E+10,1.09E-06,5.73E+16,6.24E+10
0.0000011,9.47E-11,624097836,1.04E-08,6.83E+10,1.10E-06,6.24E+16,6.87E+10
0.00000111,9.76E-11,642892013.3,1.08E-08,7.10E+10,1.11E-06,6.43E+16,7.14E+10
0.00000112,1.01E-10,666219900,1.13E-08,7.43E+10,1.12E-06,6.66E+16,7.46E+10
0.00000113,1.03E-10,678011221.3,1.16E-08,7.63E+10,1.13E-06,6.78E+16,7.66E+10
0.00000114,1.02E-10,674332228.8,1.16E-08,7.65E+10,1.14E-06,6.74E+16,7.69E+10
0.00000115,1.05E-10,693481860.3,1.20E-08,7.94E+10,1.15E-06,6.93E+16,7.98E+10
0.00000118,3.21E-10,2112835681,1.24E-08,8.20E+10,1.17E-06,7.04E+16,8.24E+10
0.0000012,2.16E-10,1426223117,1.29E-08,8.49E+10,1.19E-06,7.13E+16,8.49E+10
0.00000123,3.26E-10,2148648065,1.32E-08,8.70E+10,1.22E-06,7.16E+16,8.74E+10
0.00000125,2.14E-10,1408222164,1.32E-08,8.73E+10,1.24E-06,7.04E+16,8.73E+10
0.0000013,5.41E-10,3566310997,1.38E-08,9.09E+10,1.28E-06,7.13E+16,9.13E+10
0.00000135,5.34E-10,3515826079,1.41E-08,9.32E+10,1.33E-06,7.03E+16,9.35E+10
0.0000014,5.24E-10,3453314767,1.44E-08,9.50E+10,1.38E-06,6.91E+16,9.53E+10
0.00000145,5.18E-10,3415542585,1.48E-08,9.73E+10,1.43E-06,6.83E+16,9.77E+10
0.0000015,5.03E-10,3314213063,1.48E-08,9.78E+10,1.48E-06,6.63E+16,9.81E+10
0.00000159,8.96E-10,5905427895,1.54E-08,1.01E+11,1.55E-06,6.56E+16,1.02E+11
0.00000168,8.65E-10,5702975129,1.57E-08,1.04E+11,1.64E-06,6.34E+16,1.04E+11
0.00000177,8.29E-10,5461331780,1.59E-08,1.05E+11,1.73E-06,6.07E+16,1.05E+11
0.00000186,8.09E-10,5332290327,1.63E-08,1.08E+11,1.82E-06,5.92E+16,1.08E+11
0.00000194,6.92E-10,4562716199,1.64E-08,1.08E+11,1.90E-06,5.70E+16,1.08E+11
0.000002,5.08E-10,3349928816,1.67E-08,1.10E+11,1.97E-06,5.58E+16,1.10E+11
0.00000212,9.81E-10,6467681730,1.68E-08,1.11E+11,2.06E-06,5.39E+16,1.11E+11
0.00000221,7.08E-10,4664710266,1.70E-08,1.12E+11,2.17E-06,5.18E+16,1.12E+11
0.0000023,6.87E-10,4529525391,1.72E-08,1.13E+11,2.26E-06,5.03E+16,1.14E+11
0.00000238,5.91E-10,3897162796,1.73E-08,1.14E+11,2.34E-06,4.87E+16,1.14E+11
0.00000247,6.40E-10,4216758651,1.72E-08,1.14E+11,2.43E-06,4.69E+16,1.14E+11
0.00000257,6.89E-10,4539448178,1.74E-08,1.14E+11,2.52E-06,4.54E+16,1.14E+11
0.00000267,6.62E-10,4361904867,1.73E-08,1.14E+11,2.62E-06,4.36E+16,1.14E+11
0.00000277,6.39E-10,4210284015,1.74E-08,1.15E+11,2.72E-06,4.21E+16,1.15E+11
0.00000287,6.13E-10,4041858390,1.73E-08,1.14E+11,2.82E-06,4.04E+16,1.14E+11
0.00000297,5.86E-10,3859273322,1.71E-08,1.13E+11,2.92E-06,3.86E+16,1.13E+11
0.000003,1.72E-10,1131299856,1.71E-08,1.13E+11,2.99E-06,3.77E+16,1.13E+11
